spn\alliance\alderaan\broonmark\motorcade_speeder.spn_p,art\static\area\hth_hoth\vehicle\hth_veh_neu_speeder_02.gr2
spn\alliance\pinnacles_of_power\imperial\arrival_landing.spn_p,dyn\alliance\pinnacles_of_power\imperial\tour_arrival_point.dyn
spn\alliance\pinnacles_of_power\imperial\arrival_military.spn_p,dyn\alliance\pinnacles_of_power\imperial\tour_arrival_point.dyn
spn\alliance\pinnacles_of_power\imperial\arrival_research.spn_p,dyn\alliance\pinnacles_of_power\imperial\tour_arrival_point.dyn
spn\alliance\pinnacles_of_power\imperial\arrival_underworld.spn_p,dyn\alliance\pinnacles_of_power\imperial\tour_arrival_point.dyn
spn\alliance\pinnacles_of_power\imperial\cine_capital_ship.spn_p,dyn\alliance\pinnacles_of_power\imperial\cine_capital_ship.dyn
spn\alliance\pinnacles_of_power\imperial\conf_room_holo.spn_p,dyn\alliance\allied_opinions\conference_room_holo.dyn
spn\alliance\pinnacles_of_power\republic\crates_1.spn_p,dyn\alliance\pinnacles_of_power\republic\crates_1.dyn
spn\alliance\pinnacles_of_power\republic\crates_2.spn_p,dyn\alliance\pinnacles_of_power\republic\crates_2.dyn
spn\alliance\pinnacles_of_power\republic\crates_3.spn_p,dyn\alliance\pinnacles_of_power\republic\crates_3.dyn
spn\alliance\pinnacles_of_power\republic\crates_4.spn_p,dyn\alliance\pinnacles_of_power\republic\crates_4.dyn
spn\alliance\pinnacles_of_power\republic\crates_5.spn_p,dyn\alliance\pinnacles_of_power\republic\crates_5.dyn
spn\alliance\pinnacles_of_power\republic\refugee_supplies.spn_p,dyn\alliance\pinnacles_of_power\republic\refugee_supplies.dyn
spn\alliance\pinnacles_of_power\republic\refugee_usable_1.spn_p,dyn\alliance\pinnacles_of_power\republic\refugee_usable_single.dyn
spn\alliance\pinnacles_of_power\republic\refugee_usable_2.spn_p,dyn\alliance\pinnacles_of_power\republic\refugee_usable_single.dyn
spn\alliance\pinnacles_of_power\republic\refugee_usable_3.spn_p,dyn\alliance\pinnacles_of_power\republic\refugee_usable_double.dyn
spn\alliance\pinnacles_of_power\republic\refugee_usable_4.spn_p,dyn\alliance\pinnacles_of_power\republic\refugee_usable_single.dyn
spn\alliance\pinnacles_of_power\republic\refugee_usable_5.spn_p,dyn\alliance\pinnacles_of_power\republic\refugee_usable_double.dyn
spn\alliance\pinnacles_of_power\shared\computer_wall.spn_p,dyn\alliance\pinnacles_of_power\shared\computer_wall.dyn
spn\alliance\satele_ship\airlock_door.spn_p,dyn\alliance\satele_ship\airlock_door.dyn
spn\alliance\satele_ship\cargo_elevator.spn_p,art\static\area\all_all\arch\neutral\all_arch_neu_ship_scaff_lift.gr2
spn\alliance\satele_ship\conversation_starter.spn_p,art\static\designblockout\DesignUtility\dbo_utility_flag_yellow.gr2
spn\alliance\satele_ship\datapad.spn_p,dyn\alliance\satele_ship\datapad.dyn
spn\alliance\satele_ship\escape_pod_1.spn_p,dyn\alliance\satele_ship\escape_pod.dyn
spn\alliance\satele_ship\escape_pod_2.spn_p,dyn\alliance\satele_ship\escape_pod.dyn
spn\alliance\satele_ship\escape_pod_3.spn_p,dyn\alliance\satele_ship\escape_pod.dyn
spn\alliance\satele_ship\gnarls_memory.spn_p,dyn\alliance\satele_ship\gnarls_memory.dyn
spn\alliance\satele_ship\hangar_controls.spn_p,dyn\alliance\satele_ship\hangar_controls.dyn
spn\alliance\satele_ship\healing_walkover.spn_p,dyn\alliance\satele_ship\healing_walkover.dyn
spn\alliance\satele_ship\retreat_dark_portal.spn_p,dyn\alliance\satele_ship\retreat_dark_portal.dyn
spn\alliance\satele_ship\retreat_memory.spn_p,dyn\alliance\satele_ship\retreat_memory.dyn
spn\alliance\satele_ship\ship_controls.spn_p,dyn\alliance\satele_ship\ship_controls.dyn
spn\alliance\satele_ship\shuttle_hangar.spn_p,dyn\alliance\satele_ship\shuttle_hangar.dyn
spn\alliance\satele_ship\temple_approach_dark_portal.spn_p,dyn\alliance\satele_ship\temple_approach_dark_portal.dyn
spn\alliance\satele_ship\temple_approach_memory.spn_p,dyn\alliance\satele_ship\temple_approach_memory.dyn
spn\alliance\satele_ship\temple_door.spn_p,dyn\alliance\satele_ship\temple_door.dyn
spn\alliance\satele_ship\wnk_cargo.spn_p,dyn\generic\wonkavator\wonkavator_spaceport_vertical.dyn
spn\alliance\satele_ship\wnk_engineering.spn_p,dyn\generic\wonkavator\wonkavator_spaceport_vertical.dyn
spn\alliance\satele_ship\wnk_hangar.spn_p,dyn\generic\wonkavator\wonkavator_spaceport_vertical.dyn
spn\alliance\satele_ship\wnk_med_bay.spn_p,dyn\generic\wonkavator\wonkavator_spaceport_vertical.dyn
spn\alliance\satele_ship\zakuul_dropship.spn_p,dyn\alliance\satele_ship\zakuul_dropship.dyn
spn\alliance\tatooine\akaavi_mako\imp_damage_01.spn_p,dyn\alliance\tatooine\akaavi_mako\damage_one.dyn
spn\alliance\tatooine\akaavi_mako\imp_damage_02.spn_p,dyn\alliance\tatooine\akaavi_mako\damage_two.dyn
spn\alliance\tatooine\akaavi_mako\imp_damage_03.spn_p,dyn\alliance\tatooine\akaavi_mako\damage_three.dyn
spn\alliance\tatooine\akaavi_mako\rep_damage_01.spn_p,dyn\alliance\tatooine\akaavi_mako\damage_rep_one.dyn
spn\alliance\tatooine\akaavi_mako\rep_damage_02.spn_p,dyn\alliance\tatooine\akaavi_mako\damage_rep_two.dyn
spn\alliance\tatooine\akaavi_mako\rep_damage_03.spn_p,dyn\alliance\tatooine\akaavi_mako\damage_rep_three.dyn
spn\alliance\utility\cantina_jukebox.spn_p,dyn\stronghold\utility\jukebox_blue_hut_imp.dyn
spn\alliance\utility\companion_return_terminal.spn_p,dyn\alliance\camp\companion_return_terminal.dyn
spn\alliance\utility\hr_quest_terminal.spn_p,art\static\area\all_all\item\tech\all_item_tech_mission_terminal.gr2
spn\alliance\yavin\dashade\cave_expedition_bodies.spn_p,dyn\alliance\yavin\dashade\cave_expedition_bodies.dyn
spn\alliance\yavin\dashade\harris.spn_p,dyn\alliance\yavin\dashade\harris.dyn
spn\alliance\yavin\dashade\medallion_hint_1.spn_p,dyn\alliance\yavin\dashade\medallion_hint.dyn
spn\alliance\yavin\dashade\medallion_hint_2.spn_p,dyn\alliance\yavin\dashade\medallion_hint.dyn
spn\alliance\yavin\dashade\narissa_notes.spn_p,dyn\flashpoint\manaan\shared\sign_shipping_manifest.dyn
spn\alliance\yavin\dashade\pillar_01.spn_p,dyn\alliance\yavin\dashade\ancient_carved_pillar.dyn
spn\alliance\yavin\dashade\pillar_02.spn_p,dyn\alliance\yavin\dashade\ancient_carved_pillar.dyn
spn\alliance\yavin\dashade\pillar_03.spn_p,dyn\alliance\yavin\dashade\ancient_carved_pillar.dyn
spn\alliance\yavin\dashade\pillar_04.spn_p,dyn\alliance\yavin\dashade\ancient_carved_pillar.dyn
spn\alliance\yavin\dashade\pillar_05.spn_p,dyn\alliance\yavin\dashade\ancient_carved_pillar.dyn
spn\alliance\yavin\dashade\puzzle_box.spn_p,dyn\alliance\yavin\dashade\puzzle_chest.dyn
spn\alliance\yavin\dashade\puzzle_box_inside.spn_p,dyn\alliance\yavin\dashade\puzzle_chest.dyn
spn\alliance\yavin\dashade\relic_keeper_altar.spn_p,dyn\alliance\yavin\dashade\relic_keeper_crate.dyn
spn\alliance\yavin\dashade\stasis_beam.spn_p,art\static\area\all_all\item\tech\all_item_tech_door_control_panel_03.gr2
spn\alliance\yavin\dashade\talos_chest.spn_p,dyn\alliance\yavin\dashade\open_coffer.dyn
spn\alliance\yavin\dashade\talos_chest_empty.spn_p,dyn\alliance\yavin\dashade\open_coffer.dyn
spn\alliance\yavin\dashade\teleporter_entrance.spn_p,dyn\alliance\yavin\dashade\teleporter_entrance.dyn
spn\alliance\yavin\dashade\teleporter_exit.spn_p,dyn\alliance\yavin\dashade\teleporter_exit.dyn
spn\alliance\yavin\talos\ancient_component.spn_p,art\static\area\vos_voss\item\voss_item_voss_lamp_connector.gr2
spn\alliance\yavin\talos\ancient_holocron.spn_p,dyn\alliance\yavin\talos\ancient_holocron.dyn
spn\alliance\yavin\talos\ancient_powered_armor.spn_p,dyn\alliance\yavin\talos\ancient_powered_armor.dyn
spn\alliance\yavin\talos\ancient_sealed_coffer.spn_p,dyn\alliance\yavin\talos\ancient_coffer_small.dyn
spn\alliance\yavin\talos\ancient_tablet.spn_p,dyn\alliance\yavin\talos\ancient_tablets.dyn
spn\alliance\yavin\talos\chained_coffer.spn_p,dyn\alliance\yavin\talos\ancient_coffer.dyn
spn\alliance\yavin\talos\chained_coffer_binding.spn_p,dyn\alliance\yavin\talos\chained_coffer_binding.dyn
spn\alliance\yavin\talos\datacron_1.spn_p,dyn\alliance\yavin\talos\ancient_datacrons.dyn
spn\alliance\yavin\talos\datacron_2.spn_p,dyn\alliance\yavin\talos\ancient_datacrons.dyn
spn\alliance\yavin\talos\dormant_holocron_1.spn_p,dyn\alliance\yavin\talos\ancient_holocron.dyn
spn\alliance\yavin\talos\dormant_holocron_2.spn_p,dyn\alliance\yavin\talos\ancient_holocron.dyn
spn\alliance\yavin\talos\dormant_holocron_3.spn_p,dyn\alliance\yavin\talos\ancient_holocron.dyn
spn\alliance\yavin\talos\focus_rune_1.spn_p,dyn\alliance\yavin\talos\focus_runes.dyn
spn\alliance\yavin\talos\focus_rune_2.spn_p,dyn\alliance\yavin\talos\focus_runes.dyn
spn\alliance\yavin\talos\focus_rune_3.spn_p,dyn\alliance\yavin\talos\focus_runes.dyn
spn\alliance\yavin\talos\machine_core_wreckage.spn_p,dyn\alliance\yavin\talos\machine_core_wreckage.dyn
spn\alliance\zakuul\nico\ingredient_10_not_selected.spn_p,art\static\item\equipment\item_eqp_stimpack.gr2
spn\alliance\zakuul\nico\ingredient_10_selected.spn_p,art\static\item\equipment\item_eqp_stimpack.gr2
spn\alliance\zakuul\nico\ingredient_1_not_selected.spn_p,art\static\area\all_all\item\underworld\all_item_und_bar_bottles_01.gr2
spn\alliance\zakuul\nico\ingredient_1_selected.spn_p,art\static\area\all_all\item\underworld\all_item_und_bar_bottles_01.gr2
spn\alliance\zakuul\nico\ingredient_2_not_selected.spn_p,art\static\area\all_all\item\underworld\all_item_und_bar_bottles_02.gr2
spn\alliance\zakuul\nico\ingredient_2_selected.spn_p,art\static\area\all_all\item\underworld\all_item_und_bar_bottles_02.gr2
spn\alliance\zakuul\nico\ingredient_3_not_selected.spn_p,art\static\area\tyt_tython\item\tyt_item_fleshraider_meathook_meat01.gr2
spn\alliance\zakuul\nico\ingredient_3_selected.spn_p,art\static\area\tyt_tython\item\tyt_item_fleshraider_meathook_meat01.gr2
spn\alliance\zakuul\nico\ingredient_4_not_selected.spn_p,art\static\area\all_all\item\underworld\all_item_und_bar_bottles_03.gr2
spn\alliance\zakuul\nico\ingredient_4_selected.spn_p,art\static\area\all_all\item\underworld\all_item_und_bar_bottles_03.gr2
spn\alliance\zakuul\nico\ingredient_5_not_selected.spn_p,art\static\area\all_all\item\underworld\all_item_und_bar_bottles_04.gr2
spn\alliance\zakuul\nico\ingredient_5_selected.spn_p,art\static\area\all_all\item\underworld\all_item_und_bar_bottles_04.gr2
spn\alliance\zakuul\nico\ingredient_6_not_selected.spn_p,art\static\area\all_all\item\misc\all_item_misc_bottle_break.gr2
spn\alliance\zakuul\nico\ingredient_6_selected.spn_p,art\static\area\all_all\item\misc\all_item_misc_bottle_break.gr2
spn\alliance\zakuul\nico\ingredient_7_not_selected.spn_p,dyn\alliance\zakuul\nico\ingredient_7.dyn
spn\alliance\zakuul\nico\ingredient_7_selected.spn_p,dyn\alliance\zakuul\nico\ingredient_7.dyn
spn\alliance\zakuul\nico\ingredient_8_not_selected.spn_p,art\static\area\all_all\item\handheld\all_item_handheld_fruit.gr2
spn\alliance\zakuul\nico\ingredient_8_selected.spn_p,art\static\area\all_all\item\handheld\all_item_handheld_fruit.gr2
spn\alliance\zakuul\nico\ingredient_9_not_selected.spn_p,art\static\area\all_all\item\bones\all_item_bone_human_skull_pile.gr2
spn\alliance\zakuul\nico\ingredient_9_selected.spn_p,art\static\area\all_all\item\bones\all_item_bone_human_skull_01.gr2
